_id,Project Name,Subtype,Current Status,Capacity (MW),Year of Completion,undefined,Country list of Sponsor/Developer,Sponsor/Developer Company,Country list of Lender/Financier,Lender/Financier Company,Country list of Construction/EPC,Construction Company/EPC Participant,Country,Province/State,District,undefined_1,Tributary,Latitude,Longitude,Proximity,Avg. Annual Output (MWh),undefined_2,Data Source,Announcement/More Information,Link,Latest Update,the_geom
567,Korat 4 Solar Power Plant,Solar,Operational,6.1,2012,,Thailand,Solar Power (Korat 4) Company Limited (Solar Power Co. Ltd.; Ratchaburi Electricity Generating Holding Public Co. Ltd.),,,, ,Thailand,Nakhon Ratchasima,Chok Chai,,Mun-Chi,14.8181,102.162, ,8135.291,,World Resources Institute,https://www.spcg.co.th/en/getSubsibiaries/8, ,,0101000020E61000003C4ED1915C8A594017B7D100DEA22D40
568,Korat 5 Solar Power Plant,Solar,Operational,7.4,2013,,Thailand,Solar Power (Korat 5) Company Limited (Solar Power Co. Ltd.),,,, ,Thailand,Nakhon Ratchasima,Bua Yai,,Mun-Chi,15.554,102.516, ,9869.042,,World Resources Institute,https://www.spcg.co.th/en/getSubsibiaries/10, ,,0101000020E610000030BB270F0BA15940CFF753E3A51B2F40
569,Korat 6 Solar Power Plant,Solar,Operational,7.4,2013,,Thailand,Solar Power (Korat 6) Company Limited (Solar Power Co. Ltd.),,,, ,Thailand,Nakhon Ratchasima,Chakkarat,,Mun-Chi,14.9991,102.495, ,9869.042,,World Resources Institute,https://www.spcg.co.th/en/getSubsibiaries/17, ,,0101000020E610000048E17A14AE9F594001DE02098AFF2D40
570,Korat 7 Solar Power Plant,Solar,Operational,6.1,2012,,Thailand,Solar Power (Korat 7) Company Limited (Solar Power Co. Ltd.; Ratchaburi Electricity Generating Holding Public Co. Ltd.),,,, ,Thailand,Nakhon Ratchasima,Dan Khun Thot,,Mun-Chi,15.1082,101.887, ,8135.291,,World Resources Institute,https://www.spcg.co.th/en/getSubsibiaries/9, ,,0101000020E61000000612143FC6785940BADA8AFD65372E40
571,Korat 8 Solar Power Plant,Solar,Operational,7.4,2013,,Thailand,Solar Power (Korat 8) Company Limited (Solar Power Co. Ltd.),,,, ,Thailand,Nakhon Ratchasima,Bua Yai,,Mun-Chi,15.5538,102.52, ,9869.042,,World Resources Institute,https://www.spcg.co.th/en/getSubsibiaries/11, ,,0101000020E61000007E1D386744A15940B30C71AC8B1B2F40
572,Korat 9 Solar Power Plant,Solar,Operational,7.4,2013,,Thailand,Solar Power (Korat 9) Company Limited (Solar Power Co. Ltd.),,,, ,Thailand,Nakhon Ratchasima,Sung Noen,,Mun-Chi,14.8742,101.809, ,9869.042,,World Resources Institute,https://www.spcg.co.th/en/getSubsibiaries/12, ,,0101000020E6100000C7293A92CB7359408F53742497BF2D40
573,Korat S.W. Wastewater Treatment Project,Waste,Unknown,,,,Thailand,Korat S.W. Group 2007 Co. Ltd.,,,United Kingdom; Germany,Agrinergy Pte Ltd. (UK); RWE Power Aktiengesellschaft (Germany),Thailand,Chanthaburi,Soydow,,Chao Phraya-Ping,13.215,102.178, , ,,UNFCCC,Biogas from wastewater from starch,https://cdm.unfccc.int/Projects/DB/RWTUV1336989538.66/view,,0101000020E610000008AC1C5A648B594075029A081B6E2A40
574,Korat Waste to Energy Project,Waste,Unknown,5,,,Thailand,Korat Waste to Energy Company Ltd,,,United Kingdom,EcoSecurities Group plc.,Thailand,Nakhon Ratchasima,Muang Nakhon Ratchasima,,Mun-Chi,14.8992,102.151, , ,,UNFCCC,Wastewater from starch industry,https://cdm.unfccc.int/Projects/DB/KPMG1175141470.89/view,,0101000020E61000005227A089B0895940B1169F0260CC2D40
575,Krabi,Gas,Operational,340,2004,,Thailand,"EGCO (Electricity Generating Public Company, Ltd.)",,,, ,Thailand,Krabi,Nua Khlong,,Coastal Rivers Krabi,7.9934,99.0482, ,1391982,,GEODB,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=92&Itemid=120, ,,0101000020E6100000B3EA73B515C35840B7627FD93DF91F40
576,Krabi 1 Power Plant Project,Biomass,Unknown,9.5,2006,,Thailand,"Tropical Asia International Co., Ltd.",,,Thailand,ATT Consultants Co. Ltd.,Thailand,Krabi,Khao Phanom,,Ta Pi,8.27807,99.1142,"Actual location unknown, currently sited at locality in link/announcement", ,,ATT Consultants,Palm waste,https://www.attconsult.com/en/power-engineering/power-plant-engineering/biomass-power-projects/krabi-1-power-plant-project/,,0101000020E6100000CC0BB08F4EC75840DBDD03745F8E2040
