_id,Project Name,Subtype,Current Status,Capacity (MW),Year of Completion,undefined,Country list of Sponsor/Developer,Sponsor/Developer Company,Country list of Lender/Financier,Lender/Financier Company,Country list of Construction/EPC,Construction Company/EPC Participant,Country,Province/State,District,undefined_1,Tributary,Latitude,Longitude,Proximity,Avg. Annual Output (MWh),undefined_2,Data Source,Announcement/More Information,Link,Latest Update,the_geom
0,300 MW Attapeu & Borikhamxay,Solar,Planned,250,2019,,,,,,, ,Laos,Vientiane [prefecture],Chanthabuly,,Mekong Mainstream - Lower,17.9999,102.626,"Actual location unknown, currently sited at locality in link/announcement", ,,IUCN,Extracted from IUCN; http://annx.asianews.network/content/laos-attapeu-borikhamxay-anticipate-sun-shining-solar-project-55201; http://kpl.gov.la/En/Detail.aspx?id=27627; http://www.convalt.com/loa-solar-hte.html; http://www.investlaos.gov.la/index.php/ne, ,,0101000020E6100000F2D24D6210A85940F29881CAF8FF3140
1,300 MW Attapeu & Borikhamxay,Solar,Planned,50,2019,,USA,Convalt Energy LLC (USA),,,, ,Laos,Attapu,Samakkhixay,,Sekong,14.8183,106.824,"Actual location unknown, currently sited at locality in link/announcement", ,,IUCN,Extracted from IUCN; http://annx.asianews.network/content/laos-attapeu-borikhamxay-anticipate-sun-shining-solar-project-55201; http://kpl.gov.la/En/Detail.aspx?id=27627; http://www.convalt.com/loa-solar-hte.html; http://www.investlaos.gov.la/index.php/ne, ,,0101000020E6100000789CA223B9B45A40C2FA3F87F9A22D40
2,A Luoi,Hydro,Operational,170,2012,,Vietnam,Central Region Hydropower JSC,,,Vietnam,VINAINCON,Vietnam,Thừa Thiên Huế,A Lưới,,Sekong,16.1976,107.162, , ,,Vietnam Electricity,https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf; https://data.mendeley.com/datasets/ht9k5p3vdb/1,https://wle-mekong.cgiar.org/construction-of-nam-chien-Hydropower-project-begins/,03:31:20,0101000020E61000003C4ED1915CCA5A4018096D3997323040
3,A Vuong,Hydro,Operational,210,2008,,Vietnam,A Vuong Hydro Power JSC,,,Japan; Vietnam,"Sumitomo, Licogi",Vietnam,Quảng Nam,Đông Giang,,Song Giang,15.7998,107.617, , ,,Wikipedia,https://www.licogi166.vn/en/cong-trinh-thuy-dien-a-vuong-a62.html; https://data.mendeley.com/datasets/ht9k5p3vdb/1, ,03:31:20,0101000020E61000002497FF907EE75A407DAEB6627F992F40
4,A.T. Biopower Rice Husk Power Project,Biomass,Operational,22.5,2004,,Thailand,A.T. Biopower,,,, ,Thailand,Phichit,Bang Mun Nak,,Nan,16.0713,100.396, , ,,UNFCCC,Rice husk,https://cdm.unfccc.int/Projects/DB/DNV-CUK1174909241.2/view,,0101000020E61000009A081B9E5E195940982F2FC03E123040
5,Active Synergy Landfill Gas Power Generation Project,Waste,Unknown,1.04,,,Thailand,"Active Synergy Co., Ltd.",,,United Kingdom,EDF Trading Ltd (EDFT),Thailand,Nakhon Pathom,Kamphaeng Saen,,Tha Chin,14.0678,99.9693, , ,,UNFCCC,Landfill gas collection,https://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1271901107.75/view,,0101000020E61000000742B28009FE58408907944DB9222C40
6,Advanced Wastewater Management at Rajburi Ethanol Plant,Waste,Unknown,,,,Thailand,Rajburi Ethanol Co.,,,Sweden,Carbon Asset Management Sweden AB,Thailand,Ratchaburi,Ban Pong,,Nam Mae Khlong Mainstem,13.8376,99.8587, , ,,UNFCCC,Biogas from wastewater from ethanol,https://cdm.unfccc.int/Projects/DB/TUEV-SUED1337330382.67/view,,0101000020E6100000F41ABB44F5F65840064CE0D6DDAC2B40
7,Agricultural cooperative solar project,Solar,Under Construction,5,2018,,China,ReneSola Ltd (China),,,China,ReneSola Ltd (China),Thailand,Rayong,Muang Rayong,,Coastal Rivers Rayong Chon Buri,12.7006,101.133,"Actual location unknown, currently sited at locality in link/announcement", ,,Renewables Now,https://www.prnewswire.com/news-releases/renesola-awarded-5mw-of-solar-projects-in-thailand-300483314.html,https://renewablesnow.com/news/renesola-wins-5-mw-of-agricultural-pv-projects-in-thailand-575003/;,,0101000020E61000008D976E12834859402DCF83BBB3662940
8,Ahlone,Gas,Operational,153,1995,,Myanmar,MEPE (Myanmar),,,, ,Myanmar,Yangon,Yangon-E,,Irrawaddy Mainstem and Delta,16.7806,96.1121, , ,,Myanmar Institute for Peace and Security,https://www.industryabout.com/country-territories-3/1986-myanmar/fossil-fuels-energy/30614-ahlone-gas-power-plant, ,,0101000020E6100000904E5DF92C075840AB9509BFD4C73040
9,Ahlone,Gas,Planned,388,,,Thailand; Japan; Myanmar,"TTCL Myanmar Power Co., Ltd (Thailand, Japan, Myanmar)",,,Thailand,"Toyo-Thai [Italian-Thai Development (Thailand), Toyo Engineering (Japan)]",Myanmar,Yangon,Yangon-W,,Irrawaddy Mainstem and Delta,16.7786,96.1307,"Actual location unknown, currently sited at locality in link/announcement", ,,Myanmar Institute for Peace and Security,http://www.vdb-loi.com/wp-content/uploads/2018/01/Myanmar-Somewhat-Unexpectedly-Signs-4-Major-LNGGas-to-Power-Projects.pdf; https://www.ccifrance-myanmar.org/en/news/ceremony-held-for-lng-projects; https://frontiermyanmar.net/en/thai-firm-sees-progress-o, ,,0101000020E61000004EB9C2BB5C08584048F949B54FC73040
10,Ahlone,Gas,Operational,120,2013,,Thailand; Japan; Myanmar,"Toyo Thai Power Myanmar Co., Ltd (Thailand, Japan, Myanmar)",,,, ,Myanmar,Yangon,Yangon-W,,Irrawaddy Mainstem and Delta,16.7786,96.1307,"Actual location unknown, currently sited at locality in link/announcement", ,,Myanmar Institute for Peace and Security,"http://www.moee.gov.mm/en/ignite/page/288, http://www.ttcl.com/news/daily/view/3; https://energypedia.info/images/4/4c/MOEP_-_Public-private_partnership_development_in_Thermal_Power_Generation%2C_Thermal_Power_Department%2C_Myanmar_Electric_Power_Enterpr", ,,0101000020E61000004EB9C2BB5C08584048F949B54FC73040
11,AJ Technology Company Limited (AJ),Solar,Operational,3.7,2013,,Thailand,"AJ Technology Co. Ltd. (Solar Power Asset Co., Ltd., Dr. Art-ong Jumsai No Ayudhya, Mr. Krit Jumsai Na Adhya, Solar Power Co., Ltd.)",,,, ,Thailand,Lop Buri,Chai Badan,,Pasak,15.1042,101.077, , ,,SPC company website,https://www.spcg.co.th/en/getSubsibiaries/35, ,,0101000020E61000004D158C4AEA4459404C37894160352E40
12,Ajinomoto Waste Water Treatment and Biogas Utilization Project,Biomass,Operational,4,2008,,Japan,"Ajinomoto Co., Ltd.",,,, ,Thailand,Kamphaeng Phet,Mueang Kamphaeng Phet,,Chao Phraya-Ping,16.3384,99.6756, , ,,UNFCCC,https://www.ajinomoto.co.jp/company/en/activity/sustainability/ricehusk/,https://cdm.unfccc.int/Projects/DB/KBS_Cert1348557030.37/view,,0101000020E6100000A5F78DAF3DEB584091F2936A9F563040
13,Akekamai-Ramintra Solar Power Plant,Solar,Operational,1,,,Thailand,Thai Solar Energy Public Company Limited (TSE),,,, ,Thailand,Bangkok Metropolis,Khan Na Yao,,Chao Phraya-Ping,13.8283,100.68, ,1333.654,,World Resources Institute,http://www.thaisolarenergy.com/project.php?menu=future_projects, ,,0101000020E610000088F4DBD7812B5940B98D06F016A82B40
14,Amata,Oil,Operational,13,,,,,,,, ,Vietnam,Đồng Nai,Biên Hòa,,Dong Nai,10.9471,106.9, , ,,World Resources Institute,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf, ,,0101000020E61000009A99999999B95A404D158C4AEAE42540
15,Amata B.Grimm,Gas,Operational,732,2016,,Thailand,B. Grimm Power,,,Japan; Germany; Finland; France,"Siemens, Sumitomo Corporation, Toshiba Plant Systems, Alstom Power, Pöyry Energy",Thailand,Chon Buri,Muang Chon Buri,,Chao Phraya-Ping,13.4191,101.027, ,3000949,,World Resources Institute,http://www.bgrimmpower.com/power-plants/power-plants-in-operation/; https://investor.bgrimmpower.com/misc/ar/20180326-bgrim-ar2017-en.pdf; https://investor.bgrimmpower.com/misc/presentation/20190521-bgrim-oppday-1q2019-02.pdf,,12:28:20,0101000020E6100000E09C11A5BD415940D881734694D62A40
16,Amata B.Grimm Power (Rayong) 1,Gas,Operational,123.3,2013,,Thailand,B.Grimm,,,,,Thailand,Rayong,Pluak Daeng,,Coastal Rivers Rayong Chon Buri,12.968,101.118,,,,Sponsor Website,,https://investor.bgrimmpower.com/misc/presentation/20190521-bgrim-oppday-1q2019-02.pdf,12:28:20,0101000020E610000057CC086F8F4759403B7DF3D198EF2940
17,Amata B.Grimm Power (Rayong) 2,Gas,Operational,124.4,2013,,Thailand,B.Grimm,,,,,Thailand,Rayong,Pluak Daeng,,Coastal Rivers Rayong Chon Buri,12.968,101.118,,,,Sponsor Website,,https://investor.bgrimmpower.com/misc/presentation/20190521-bgrim-oppday-1q2019-02.pdf,12:28:20,0101000020E610000063EDEF6C8F475940E179A9D898EF2940
18,Amata B.Grimm Power (Rayong) 3,Gas,Operational,133,2018,,Thailand,B.Grimm,,,,,Thailand,Rayong,Pluak Daeng,,Coastal Rivers Rayong Chon Buri,12.9352,101.098,,,,Sponsor Website,,https://investor.bgrimmpower.com/misc/presentation/20190521-bgrim-oppday-1q2019-02.pdf,12:28:20,0101000020E6100000E6A7DD5449465940BDB6E995D3DE2940
19,Amata B.Grimm Power (Rayong) 4,Gas,Operational,133,2018,,Thailand,B.Grimm,,,,,Thailand,Rayong,Pluak Daeng,,Coastal Rivers Rayong Chon Buri,12.9351,101.097,,,,Sponsor Website,,https://investor.bgrimmpower.com/misc/presentation/20190521-bgrim-oppday-1q2019-02.pdf,12:28:20,0101000020E6100000BA0ACE853646594029F81A40C7DE2940
20,Amata B.Grimm Power (Rayong) 5,Gas,Operational,133,2018,,Thailand,B.Grimm,,,,,Thailand,Rayong,Pluak Daeng,,Coastal Rivers Rayong Chon Buri,12.9821,101.107,,,,Sponsor Website,,https://investor.bgrimmpower.com/misc/presentation/20190521-bgrim-oppday-1q2019-02.pdf,12:28:20,0101000020E610000038FF65ADD7465940485B4BB7DBF62940
21,An Khanh - Bac Giang (Nhà máy Nhiệt điện An Khánh - Bắc Giang),Coal,Planned,650,2023,,Vietnam,An Khanh - Bac Giang Thermal Power JSC,China,China Development Bank (CDB); Industrial and Commercial Bank of China (ICBC),, ,Vietnam,Bắc Giang,Lục Nam,,Song Cau-Song Thuong-Song Luc Nam,21.2321,106.36,"Actual location unknown, currently sited at locality in link/announcement",5000000,,Sponsor Website,http://danviet.vn/doanh-nghiep/nhiet-dien-an-khanh-bac-giang-gop-phan-on-dinh-an-ninh-nang-luong-quoc-gia-975071.html, ,,0101000020E610000010E9B7AF03975A405DBF60376C3B3540
22,An Khanh I (Nhà máy nhiệt điện An Khánh I),Coal,Operational,120,2015,,Vietnam,An Khanh Electricity JSC,China; Vietnam,"China Communications Bank; Bank of China, China Construction Bank, China Exim Bank, Bank for Investment and Development of Vietnam",China,China People Electricity and Gas Group,Vietnam,Thái Nguyên,Đại Từ,,Song Cau-Song Thuong-Song Luc Nam,21.5969,105.767, ,800000,,AidData,https://vietnamnews.vn/economy/219017/an-khanh-signs-143m-loan-deal.html; https://www.sourcewatch.org/index.php/An_Khanh_power_station; corroborated by other database; https://www.gem.wiki/An_Khanh_power_station,http://nhietdienankhanh.com.vn/gioi-thieu/gioi-thieu/2.html,03:29:20,0101000020E6100000454772F90F715A40C6A70018CF983540
23,An Khanh II (Nhà máy nhiệt điện An Khánh II),Coal,Cancelled,300,2023,,Vietnam,An Khanh Electricity JSC,,,, ,Vietnam,Thái Nguyên,Đại Từ,,Song Cau-Song Thuong-Song Luc Nam,21.5969,105.767,, ,,Sourcewatch,http://baothainguyen.org.vn/tin-tuc/cong-nghiep/nhiet-dien-an-khanh-khang-dinh-vi-the-o-%E2%80%9Csan-choi%E2%80%9D-chung-256929-46245.html; https://www.gem.wiki/An_Khanh_power_station, ,03:29:20,0101000020E6100000454772F90F715A40C6A70018CF983540
24,An Khe - Kanak (Thủy điện An Khê - Kanak),Hydro,Operational,173,2011,,Vietnam,An Khe - Ka Nak Hydro Power Co.,,,, ,Vietnam,Gia Lai,KBang,,Song Da Rang-Song Ba,14.1761,108.577, ,694000,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/an-khe-kanak-Hydropower,https://vi.wikipedia.org/wiki/Th%E1%BB%A7y_%C4%91i%E1%BB%87n_An_Kh%C3%AA_-_Kanak,,0101000020E610000014D044D8F0245B4043FF04172B5A2C40
25,An Khe Biomass Power #1 Expansion (Nhà máy điện sinh khối An Khê),Biomass,Operational,95,2017,,Vietnam,Quang Ngai Sugar Cane JSC,Vietnam,Quang Ngai Sugar Cane JSC,, ,Vietnam,Gia Lai,An Khê,,Song Da Rang-Song Ba,13.9859,108.661, , ,,National Power Development Plan VII,"http://vneec.gov.vn/tin-tuc/energy-database/t23093/an-khe-biomass-power-plant-in-master-planning.html
http://qns.com.vn/language/en-US/%C4%90V-Th%C3%A0nh-vi%C3%AAn.aspx", ,,0101000020E6100000AED85F764F2A5B4029E8F692C6F82B40
26,Ang Thong Solar Power Plant,Solar,Operational,1.2,,,Thailand,"Bangkok Solar Power Company, Ltd.",,,, ,Thailand,Ang Thong,Muang Ang Thong,,Chao Phraya-Ping,14.5894,100.476, ,1600.385,,World Resources Institute,http://www.bangkoksolarpower.com/en/reference_project, ,,0101000020E61000000A68226C781E5940598638D6C52D2D40
27,Angkor Biomass,Biomass,Operational,2,2011,,Cambodia,"Angkor Bio Cogen Co., Ltd.",Japan; Sweden,Mitsubishi UFJ Morgan Stanley Securities Co Ltd (Japan);  ADB as Trustee of the Future Carbon Fund; Swedish Energy Agency (Sweden),, ,Cambodia,Kandal,Angk Snuol,,Mekong Mainstrem - Lower Tonle Sap,11.5123,104.716, , ,,World Resources Institute,datasets.wri.org/dataset/globalpowerplantdatabase; https://cdm.unfccc.int/Projects/DB/DNV-CUK1144657688.42/view, ,,0101000020E610000060E5D022DB2D5A404A7B832F4C062740
28,"Angvian Industry Co., Ltd",Biomass,Unknown,30,,,Thailand,Wangkanai Group,,,, ,Thailand,Nakhon Ratchasima,Kaeng Sanam Nang,,Mun-Chi,15.7334,102.287, , ,,EGAT PDP,Bagasse,http://www.egat.co.th/en/images/about-egat/PDP2015_Eng.pdf; http://www.wangkanai.co.th/en/business.html,,0101000020E6100000EE7C3F355E925940F37684D382772F40
29,Anita Asia Rooftop Solar,Solar,Operational,0.0926,2017,,Austria; Myanmar,Anita Asia,,,Laos,Sunlabob Renewable Energy Co. (Laos),Myanmar,Yangon,Yangon-N,,Irrawaddy Mainstem and Delta,16.9543,96.1863, , ,, ,"https://www.pv-magazine.com/2017/07/04/myanmar-sunlabob-renewable-energy-commissions-92-6-kwp-rooftop-solar/, https://www.sunlabob.com/news-2017/sunlabob-renewable-energy-partners-with-anita-asia-on-rooftop-solar-pv-at-myanmar-garment-factory.html", ,,0101000020E610000004E78C28ED0B5840EA3E00A94DF43040
30,Ann,Wind,Planned,120,,,China,China Three Gorges (China),,,, ,Myanmar,Rakhine,Kyaunkpyu,,An Chaung,19.7672,94.0008,"Actual location unknown, currently sited at locality in link/announcement", ,,Myanmar Institute for Peace and Security,http://www.oilseedcrops.org/wp-content/uploads/2013/06/Ministry-of-Electric-Power-Myanmar-Wind-Power-Resources-Survey-2012-.pdf; https://www.asiabiomass.jp/english/topics/1509_05.html, ,,0101000020E61000007C0A80F10C805740312592E865C43340
31,Ann,Wind,Planned,240,,,China,China Three Gorges (China),,,, ,Myanmar,Rakhine,Kyaunkpyu,,An Chaung,19.7672,94.0008,"Actual location unknown, currently sited at locality in link/announcement", ,,Myanmar Institute for Peace and Security,http://www.oilseedcrops.org/wp-content/uploads/2013/06/Ministry-of-Electric-Power-Myanmar-Wind-Power-Resources-Survey-2012-.pdf; https://www.asiabiomass.jp/english/topics/1509_05.html, ,,0101000020E61000007C0A80F10C805740312592E865C43340
32,Annchaung,Hydro,Cancelled,10,,,Myanmar,MOEP,,,, ,Myanmar,Rakhine,Kyaunkpyu,,An Chaung,19.6141,93.9995,"Actual location unknown, currently sited at locality in link/announcement", ,,Myanmar Institute for Peace and Security,https://www.ifc.org/wps/wcm/connect/3f136d35-74fe-4601-90f8-4a03c4d22a2b/Chapter+2_SEA+Baseline+Assessment_Hydropower.pdf?MOD=AJPERES, ,,0101000020E61000008716D9CEF77F5740137EA99F379D3340
33,ANZ bank project,Solar,Operational,0.09,2016,,Laos,Sunlabob Renewable Energy (Laos),,,, ,Laos,Vientiane [prefecture],Sisattanak,,Mekong Mainstream - Lower,17.9761,102.633,"Actual location unknown, currently sited at locality in link/announcement", ,,Online,"http://sunlabob.com/news-2016/sunlabob-completes-lao-pdrs-first-ever-commercial-solar-project.html
 https://www.pv-magazine.com/2016/06/16/first-ever-commercial-solar-project-realized-in-laos_100025012/",The project is the first-ever commercial grid-connected solar system in Laos,,0101000020E61000002A3A92CB7FA859406E4C4F58E2F93140
34,Auto Alliance Rooftop Solar,Solar,Under Construction,5,2021,,Thailand,Auto Alliance,,,Thailand,WHA Utilitties and Power Plc,Thailand,Rayong,Pluak Daeng,,Coastal Rivers Rayong Chon Buri,13.0067,101.166,,,,Bangkok Post,,https://www.bangkokpost.com/business/2053139/whaup-lands-solar-contract-with-aat,03:26:20,0101000020E610000031A53F459F4A59407D44E95E69032A40
35,Ayun Ha,Hydro,Operational,3,,,Vietnam,Gia Lai Electricity JSC.,,,, ,Vietnam,Gia Lai,Phú Thiện,,Ia Ayun-La Khe-Ea Yao,13.5809,108.259, , ,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ayun-ha-Hydropower, ,,0101000020E6100000E3C798BB96105B40287E8CB96B292B40
36,Ayuthaya Mill,Coal,Operational,36,2017,,Thailand,Hiang Seng Fibre Container Co (Thailand),,,, ,Thailand,Phra Nakhon Si Ayutthaya,Bang Sai,,Chao Phraya-Ping,14.2167,100.5, , ,,Global Energy Monitor,http://enipedia.tudelft.nl/wiki/Ayuthaya_Mill_Powerplant, ,,0101000020E61000000000000000205940740CC85EEF6E2C40
37,B&T Wind Farm (Trang trại điện gió B&T),Wind,Planned,352,,,Philippines,The Ayala Group,,,, ,Vietnam,Quảng Bình,Bố Trạch,,Song Son,17.61,106.35,"Actual location unknown, currently sited at locality in link/announcement", ,,Stimson database,http://www.thestandard.com.ph/business/power-technology/269201/ayala-to-build-big-vietnam-wind-project-.html,https://baodautu.vn/nha-dau-tu-philippines-nghien-cuu-dau-tu-dien-gio-dien-mat-troi-tai-quang-binh-d83127.html,,0101000020E61000006666666666965A405C8FC2F5289C3140
38,B.Grimm BIP,Gas,Operational,230,2016,,Thailand,B.Grimm,,,, ,Thailand,Pathum Thani,Muang Pathum Thani,,Chao Phraya-Ping,13.9745,100.565, ,941634.7,,World Resources Institute,http://www.bgrimmpower.com/power-plants/power-plants-in-operation/, ,12:28:20,0101000020E6100000AA605452272459406DE7FBA9F1F22B40
39,B.Grimm Power (Laem Chabang) 1&2,Gas,Operational,159,2009,,Thailand,B.Grimm,,,, ,Thailand,Chon Buri,Si Racha,,Coastal Rivers Rayong Chon Buri,13.0913,100.894, ,650956.2,,Sponsor Website,https://investor.bgrimmpower.com/misc/presentation/20190521-bgrim-oppday-1q2019-02.pdf,http://www.bgrimmpower.com/power-plants/power-plants-in-operation/,,0101000020E6100000053411363C395940E63FA4DFBE2E2A40
40,B.Grimm Power (WHA) 1 Limited (Bowin Clean Energy),Gas,Operational,132,2017,,Thailand,"Bowin Clean Energy, Ltd., Hemaraj Energy, Ltd., B.Grimm Power",,,Finland; Japan,"Pöyry, Sumitomo Corp., Toshiba Plant Systems",Thailand,Chon Buri,Si Racha,,Coastal Rivers Rayong Chon Buri,13.0505,101.086, ,540416.5,,World Resources Institute,http://www.bgrimmpower.com/power-plants/power-plants-in-operation/; https://www.facebook.com/B.Grimmpowerwha1limited/posts/we-changed-our-name-from-bowin-clean-energy-limited-to-bgrimm-power-wha-1-limite/1177040169061474/; https://www.bgrimmpower.com/en/power-plants/domestic/46/bgrimm-power-wha-1-limited; https://www.wha-industrialestate.com/en/media-activities/news/customer-news/483/bowin-clean-energy-lays-a-foundation-stone-for-power-plant-in-hemaraj-cie; https://www.nationthailand.com/news/30315467, ,12:28:20,0101000020E61000007DAEB6627F45594060E5D022DB192A40
41,Ba Ria,Gas,Operational,389,,,Vietnam,Vietnam Electricity (EVN),,,, ,Vietnam,Bà Rịa - Vũng Tàu,Bà Rịa,,Coastal Tributaries Ba Ria-Dong Nai-HCMC,10.4891,107.17, , ,,World Resources Institute,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf, ,,0101000020E61000007B14AE47E1CA5A407CF2B0506BFA2440
42,Ba Thuoc 2,Hydro,Operational,80,2013,,Vietnam,Hoang Anh Lai,,,, ,Vietnam,Thanh Hóa,Bá Thước,,Ma mainstem,20.3242,105.322, , ,,Vietnam Electricity,https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf; https://data.opendevelopmentmekong.net/vi/library_record/ba-thuoc-2-Hydropower, ,,0101000020E6100000462575029A545A4025581CCEFC523440
43,Baan-Kluai Solar Power Plant Phase 1 at Gunkul,Solar,Unknown,8.61,,,Thailand; United Kingdom,"Gunkul Powergen Co. Ltd., Agrinergy Pte Ltd.",,,, ,Thailand,Phetchabun,Chon Daen,,Nan,16.0485,100.745, ,12483,,UNFCCC,https://cdm.unfccc.int/Projects/DB/LRQA%20Ltd1346679861.43/view, ,,0101000020E610000096B20C71AC2F59403F8C101E6D0C3040
44,Baanrai Biomass Power Plant,Biomass,Operational,9.9,2013,,Thailand,"Baanrai Electricity Generating Co., Ltd. (subsidiary of Thai Roong Ruang Sugar Group)",,,, ,Thailand,Uthai Thani,Ban Rai,,Tha Chin,15.0131,99.6237, , ,,UNFCCC,https://www.bib.co.th/project/baanrai-sugar-industry/,https://cdm.unfccc.int/Projects/DB/LRQA%20Ltd1359378194.83/view,03:18:20,0101000020E61000002EE23B31EBE75840F4893C49BA062E40
45,Bac Ai Pumped-Storage Hydropower Project,Hydro,Under Construction,1200,2029,,Vietnam,EVN,,,Vietnam,"Power Engineering Consulting JSC 4, Construction JSC 47",Vietnam,Ninh Thuận,Bác Ái,,Song Cai Phan Rang,11.8442,108.775,"Actual location unknown, currently sited at locality in link/announcement",,,Boston University,https://en.evn.com.vn/d6/news/Ceremony-of-implementing-construction-and-launching-emulation-for-completing-discharge-gate-work-cluster-of-Bac-Ai-Pumped-Storage-Hydropower-Project-66-142-1744.aspx,https://data.mendeley.com/datasets/ht9k5p3vdb/1,03:31:20,0101000020E6100000A3B6685C93315B406DF3730137B02740
46,Bac Binh,Hydro,Operational,33,2009,,Vietnam,Power Development JSC,,,, ,Vietnam,Bình Thuận,Bắc Bình,,Song Luy,11.4572,108.353,, ,,Vietnam Electricity,https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf; https://data.opendevelopmentmekong.net/vi/library_record/bac-binh-Hydropower, ,,0101000020E6100000C3F5285C8F165B407C2766BD18EA2640
47,Bac Ha,Hydro,Operational,90,,,Vietnam,LICOGI,,,, ,Vietnam,Lào Cai,Bắc Hà,,Song Lo-Nga Tao,22.507,104.196, , ,,Vietnam Electricity,https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf, ,,0101000020E6100000F1F44A59860C5A404417D4B7CC813640
48,Bac Lieu Cai Cung (Nhà máy Nhiệt điện Bạc Liêu - Cái Cùng),Coal,Cancelled,1200,2019,,Vietnam; Japan,"Nhiệt điện Cái Cùng -- a JV betwen (1)Tập đoàn Điện lực Việt Nam - EVN, (2)Tập đoàn Sojitz Kyushu",,,, ,Vietnam,Bạc Liêu,Hoà Bình,,Vietnam Mekong Delta,9.16592,105.575,"Actual location unknown, currently sited at locality in link/announcement", ,,EVN,https://www.nhandan.com.vn/kinhte/item/32349502-bac-lieu-xin-loai-du-an-nhiet-dien-cai-cung-khoi-quy-hoach.html, ,,0101000020E61000007FFB3A70CE645A40B35F77BAF3542240
49,Bac Lieu LNG ((Nhà máy nhiệt điện khí LNG Bạc Liêu) - built in 3 stages,Gas,Planned,3200,2027,,USA; Vietnam,"Delta Offshore Energy, Viện Năng Lượng (Ministry of Commerce and Trade)",,,, ,Vietnam,Bạc Liêu,Hoà Bình,,Vietnam Mekong Delta,9.23116,105.693,"Actual location unknown, currently sited at locality in link/announcement", ,,Nhan Dan,https://vietnambiz.vn/du-an-dien-khi-lng-4-ty-usd-tai-bac-lieu-co-the-phat-dien-1000-mw-vao-nam-2021-65384.htm; https://www.enerdata.net/publications/daily-energy-news/vietnam-adds-two-lng-power-projects-27-3-gw-national-planning.html, ,,0101000020E6100000AAF1D24D626C5A402B172AFF5A762240
50,Bac Lieu Wind 1-2 (Nhà máy Điện gió Bạc Liêu giai đoạn 1 và 2),Wind,Operational,142,2018,,Vietnam,Cong Ly Ltd Co (Công ty trách nhiệm hữu hạn Xây dựng - Thương mại và Du lịch Công Lý),,,, ,Vietnam,Sóc Trăng,Vĩnh Châu,,,9.23722,105.834, ,639000,,National Power Development Plan VII,https://www.vir.com.vn/cong-ly-kicks-off-two-more-wind-power-projects-56056.html, ,,0101000020E610000013F241CF66755A40D0B7054B75792240
51,Bac Lieu Wind 3 (Nhà máy Điện gió Bạc Liêu giai đoạn 3),Wind,Planned,133,2018,,Vietnam,Cong Ly Ltd Co (Công ty trách nhiệm hữu hạn Xây dựng - Thương mại và Du lịch Công Lý),,,, ,Vietnam,Bạc Liêu,Bạc Liêu,,,9.22481,105.805, , ,,Wikipedia, , ,,0101000020E61000009D8026C286735A40696E85B01A732240
52,Bac Me,Hydro,Operational,45,2018,,Vietnam,Vietracimex,Japan,Sumitomo Mitsui Banking Corporation (Japan); The Gunma Bank Ltd. (Japan); The Chugoku Bank.; Ltd. (Japan); and The Bank of Yokohama; Ltd.. (Japan),, ,Vietnam,Hà Giang,Bắc Mê,,Song Lo-Nga Tao,22.7377,105.384, , ,,Vietnam Electricity,https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf, ,,0101000020E61000006ADE718A8E585A40863DEDF0D7BC3640
53,Baluchaung (Upper),Hydro,Under Construction,30.4,,,Myanmar,"Neo Energy Oasis Development Co., Ltd. (Myanmar)",,,Japan,"Nippon Koei Co., Ltd  (Project Participant) (Japan)",Myanmar,Shan,Taunggye,,Nam Pawn,20.4846,96.7819, , ,,Myanmar Institute for Peace and Security,https://www.ifc.org/wps/wcm/connect/07b1eba5-9c63-4f7c-8674-d463732a0395/Copy+of+18+02+07+MYA+SEA+HP+Database+WB-IFC.xlsx?MOD=AJPERES, ,,0101000020E6100000A7052FFA0A325840F9F719170E7C3440
54,Baluchaung-1,Hydro,Operational,28,1992,,Myanmar,MEPE,Japan,Japanese assistance (Japan),Japan,"Nippon Koei co., Ltd",Myanmar,Kayah,Loikaw,,Nam Pawn,19.6484,97.2869, , ,,Myanmar Institute for Peace and Security,"http://www.moee.gov.mm/en/ignite/page/288, https://www.mmtimes.com/national-news/24881-baluchaung-no-2-hydropower-plant-rehabilitated.html; https://data.mendeley.com/datasets/ht9k5p3vdb/1", ,03:31:20,0101000020E6100000718FA50F5D525840841266DAFEA53340
